t	p
0	2.2619e-08
2.016	2.0892e-08
4.016	2.0537e-08
6.032	2.0329e-08
8.047	2.0087e-08
10.047	2.0161e-08
12.047	1.999e-08
14.047	1.9989e-08
16.063	1.9839e-08
18.063	1.9864e-08
20.063	1.9756e-08
22.032	1.9594e-08
24.063	1.9518e-08
26.079	1.9498e-08
28.079	1.9343e-08
30.094	1.9283e-08
32.094	1.9193e-08
34.125	1.9114e-08
36.125	1.9098e-08
38.141	1.9085e-08
40.157	1.8939e-08
42.141	1.8906e-08
44.172	1.8836e-08
46.172	1.8833e-08
48.204	1.8733e-08
50.219	1.8728e-08
52.235	1.8652e-08
54.25	1.8453e-08
56.25	1.8445e-08
58.25	1.8403e-08
60.25	1.8416e-08
62.25	1.8221e-08
64.25	1.8258e-08
66.25	1.833e-08
68.25	1.822e-08
70.282	1.8111e-08
72.282	1.7987e-08
74.282	1.7857e-08
76.282	1.7927e-08
78.297	1.7883e-08
80.313	1.7856e-08
82.313	1.7761e-08
84.282	1.7736e-08
86.313	1.766e-08
88.329	1.7554e-08
90.329	1.751e-08
92.329	1.7521e-08
94.329	1.7576e-08
96.329	1.7506e-08
98.329	1.7526e-08
100.329	1.7389e-08
102.329	1.7425e-08
104.36	1.7344e-08
106.36	1.7291e-08
108.36	1.7217e-08
110.375	1.7329e-08
112.407	1.7165e-08
114.438	1.715e-08
116.438	1.701e-08
118.438	1.7093e-08
120.438	1.7099e-08
122.454	1.6934e-08
124.454	1.6939e-08
126.469	1.6953e-08
128.485	1.7056e-08
130.5	1.6854e-08
132.5	1.6839e-08
134.516	1.6747e-08
136.516	1.6747e-08
138.516	1.6756e-08
140.516	1.6769e-08
142.547	1.6737e-08
144.547	1.6719e-08
146.532	1.674e-08
148.547	1.66e-08
150.563	1.6582e-08
152.594	1.6679e-08
154.61	1.6558e-08
156.641	1.6597e-08
158.641	1.6592e-08
160.657	1.6525e-08
162.657	1.6454e-08
164.657	1.651e-08
166.657	1.6448e-08
168.657	1.6306e-08
170.657	1.6423e-08
172.688	1.6335e-08
174.688	1.63e-08
176.704	1.636e-08
178.704	1.6313e-08
180.704	1.6252e-08
182.704	1.6311e-08
184.704	1.6238e-08
186.704	1.617e-08
188.688	1.6303e-08
190.704	1.6248e-08
192.704	1.623e-08
194.704	1.6191e-08
196.688	1.6159e-08
198.688	1.615e-08
200.704	1.6126e-08
202.735	1.6039e-08
204.75	1.5951e-08
206.766	1.6032e-08
208.782	1.6061e-08
210.782	1.5986e-08
212.782	1.6071e-08
214.782	1.5951e-08
216.782	1.6022e-08
218.782	1.6012e-08
220.782	1.6002e-08
222.782	1.5905e-08
224.782	1.6004e-08
226.782	1.595e-08
228.782	1.5886e-08
230.782	1.5912e-08
232.797	1.5878e-08
234.829	1.5925e-08
236.844	1.579e-08
238.844	1.5788e-08
240.86	1.579e-08
242.86	1.5788e-08
244.875	1.5776e-08
246.891	1.5858e-08
248.891	1.5788e-08
250.891	1.5774e-08
252.907	1.574e-08
254.922	1.571e-08
256.907	1.5862e-08
258.954	1.5724e-08
260.969	1.568e-08
262.969	1.5633e-08
264.969	1.5684e-08
266.969	1.5652e-08
269	1.5696e-08
271.016	1.5675e-08
273.032	1.5488e-08
275.047	1.5599e-08
277.063	1.5574e-08
279.079	1.5568e-08
281.079	1.5573e-08
283.079	1.5693e-08
285.094	1.5568e-08
287.125	1.5544e-08
289.141	1.5489e-08
291.141	1.5503e-08
293.172	1.5555e-08
295.188	1.5502e-08
297.188	1.5499e-08
299.204	1.5475e-08
301.219	1.5397e-08
303.282	1.5394e-08
305.219	1.5384e-08
307.25	1.5443e-08
309.25	1.5304e-08
311.25	1.5474e-08
313.25	1.5417e-08
315.266	1.5449e-08
317.282	1.5423e-08
319.297	1.5427e-08
321.297	1.5443e-08
323.297	1.5426e-08
325.297	1.5338e-08
327.282	1.5391e-08
329.297	1.5384e-08
331.313	1.5345e-08
333.329	1.5296e-08
335.36	1.5318e-08
337.375	1.5269e-08
339.407	1.5211e-08
341.407	1.5152e-08
343.407	1.5226e-08
345.407	1.5245e-08
347.407	1.5231e-08
349.407	1.5212e-08
351.422	1.5245e-08
353.438	1.5228e-08
355.454	1.5302e-08
357.469	1.5172e-08
359.469	1.5238e-08
361.485	1.5234e-08
363.532	1.5087e-08
365.547	1.5078e-08
367.547	1.5097e-08
369.547	1.5119e-08
371.594	1.5099e-08
373.579	1.505e-08
375.594	1.4974e-08
377.594	1.4979e-08
379.594	1.5043e-08
381.594	1.4958e-08
383.594	1.5078e-08
385.594	1.4992e-08
387.594	1.5012e-08
389.579	1.5088e-08
391.579	1.4935e-08
393.594	1.5069e-08
395.594	1.4978e-08
397.625	1.4983e-08
399.61	1.5013e-08
401.625	1.4946e-08
403.625	1.4955e-08
405.641	1.4935e-08
407.641	1.4981e-08
409.657	1.4908e-08
411.657	1.4893e-08
413.672	1.4868e-08
415.672	1.4861e-08
417.657	1.4903e-08
419.657	1.4847e-08
421.672	1.4712e-08
423.672	1.4874e-08
425.688	1.4866e-08
427.704	1.4908e-08
429.735	1.4842e-08
431.75	1.4756e-08
433.75	1.4742e-08
435.766	1.4853e-08
437.766	1.4793e-08
439.782	1.4779e-08
441.782	1.4821e-08
443.782	1.4737e-08
445.813	1.4763e-08
447.813	1.4754e-08
449.813	1.4743e-08
451.813	1.4711e-08
453.813	1.4814e-08
455.813	1.4734e-08
457.813	1.4716e-08
459.813	1.4813e-08
461.813	1.466e-08
463.844	1.4768e-08
465.844	1.4717e-08
467.86	1.4676e-08
469.86	1.48e-08
471.86	1.4693e-08
473.875	1.4689e-08
475.907	1.4661e-08
477.922	1.4663e-08
479.938	1.4643e-08
