t	p
539.656	1.2946e-08
541.656	1.2997e-08
543.656	1.2916e-08
545.656	1.2982e-08
547.64	1.2994e-08
549.64	1.2988e-08
551.64	1.2989e-08
553.656	1.2929e-08
555.656	1.2876e-08
557.656	1.3028e-08
559.656	1.2926e-08
561.656	1.2916e-08
563.656	1.2897e-08
565.656	1.2876e-08
567.656	1.2944e-08
569.656	1.2863e-08
571.656	1.2942e-08
573.656	1.2955e-08
575.656	1.2963e-08
577.672	1.3024e-08
579.703	1.2941e-08
581.672	1.2932e-08
583.703	1.2892e-08
585.703	1.2933e-08
587.703	1.2975e-08
589.672	1.2968e-08
591.734	1.301e-08
593.734	1.2839e-08
595.734	1.293e-08
597.718	1.2946e-08
599.734	1.2971e-08
601.734	1.2995e-08
603.781	1.3013e-08
605.734	1.2906e-08
607.765	1.2941e-08
609.765	1.2876e-08
611.781	1.2935e-08
613.781	1.2917e-08
615.781	1.2885e-08
617.781	1.2903e-08
619.75	1.2894e-08
621.765	1.2854e-08
623.781	1.2937e-08
625.781	1.2876e-08
627.781	1.2993e-08
629.781	1.2952e-08
631.781	1.2947e-08
633.781	1.293e-08
635.781	1.2938e-08
637.781	1.2942e-08
639.781	1.2939e-08
641.781	1.291e-08
643.781	1.2968e-08
645.781	1.2817e-08
647.812	1.287e-08
649.812	1.3003e-08
651.812	1.3002e-08
653.828	1.2883e-08
655.843	1.2868e-08
657.843	1.2832e-08
659.875	1.2901e-08
661.89	1.2831e-08
663.89	1.2918e-08
665.89	1.2867e-08
667.906	1.2945e-08
669.922	1.2947e-08
671.937	1.2759e-08
673.922	1.2901e-08
675.937	1.2889e-08
677.937	1.3009e-08
679.953	1.2855e-08
681.968	1.2777e-08
683.968	1.2925e-08
685.984	1.2935e-08
688	1.289e-08
690.015	1.3007e-08
692.015	1.2911e-08
694.015	1.2955e-08
696.031	1.2849e-08
698.031	1.2901e-08
700.047	1.287e-08
702.031	1.2897e-08
704.047	1.294e-08
706.047	1.2934e-08
708.062	1.2972e-08
710.047	1.2843e-08
712.078	1.2968e-08
714.078	1.2899e-08
716.109	1.2941e-08
718.109	1.2876e-08
720.125	1.2944e-08
722.109	1.2928e-08
724.125	1.2918e-08
726.125	1.2942e-08
728.125	1.2969e-08
730.125	1.2902e-08
732.125	1.2946e-08
734.14	1.2958e-08
736.156	1.2969e-08
738.156	1.2904e-08
740.156	1.2867e-08
742.156	1.2864e-08
744.14	1.2864e-08
746.156	1.2872e-08
748.156	1.2847e-08
750.156	1.2845e-08
752.125	1.2895e-08
754.187	1.2902e-08
756.156	1.2831e-08
758.172	1.2849e-08
760.203	1.2919e-08
762.203	1.2844e-08
764.203	1.2878e-08
766.203	1.2865e-08
768.203	1.2957e-08
770.218	1.2935e-08
772.218	1.2853e-08
774.234	1.283e-08
776.234	1.2931e-08
