t	p
0	1.7999e-08
2	1.7643e-08
4	1.7555e-08
6	1.7444e-08
8	1.7528e-08
9.984	1.7366e-08
12	1.7204e-08
14	1.7253e-08
15.984	1.7198e-08
17.984	1.7087e-08
20	1.6972e-08
22.015	1.6975e-08
24.047	1.7012e-08
26.047	1.6829e-08
28.094	1.6741e-08
30.109	1.6758e-08
32.094	1.6684e-08
34.125	1.6758e-08
36.109	1.6575e-08
38.14	1.6437e-08
40.14	1.6457e-08
42.14	1.6344e-08
44.187	1.6375e-08
46.203	1.6331e-08
48.219	1.6268e-08
50.219	1.6239e-08
52.219	1.6108e-08
54.25	1.6166e-08
56.265	1.6132e-08
58.281	1.605e-08
60.297	1.6028e-08
62.312	1.6019e-08
64.344	1.5929e-08
66.375	1.5958e-08
68.375	1.5938e-08
70.375	1.5902e-08
72.406	1.5677e-08
74.406	1.5806e-08
76.406	1.5607e-08
78.437	1.5594e-08
80.437	1.559e-08
82.453	1.5656e-08
84.453	1.5501e-08
86.437	1.5468e-08
88.469	1.5556e-08
90.469	1.5465e-08
92.484	1.5369e-08
94.484	1.5372e-08
96.515	1.5397e-08
98.515	1.5355e-08
100.515	1.5244e-08
102.531	1.5237e-08
104.562	1.5237e-08
106.547	1.5139e-08
108.578	1.5142e-08
110.562	1.5157e-08
112.594	1.5166e-08
114.594	1.5111e-08
116.609	1.5113e-08
118.64	1.5118e-08
120.64	1.5076e-08
122.656	1.5026e-08
124.672	1.5082e-08
126.687	1.4962e-08
128.687	1.4909e-08
130.672	1.4998e-08
132.672	1.4949e-08
134.703	1.4919e-08
136.734	1.5008e-08
138.75	1.4908e-08
140.734	1.4876e-08
142.765	1.4749e-08
144.781	1.4837e-08
146.781	1.472e-08
148.781	1.482e-08
150.765	1.4753e-08
152.781	1.4654e-08
154.781	1.4764e-08
156.812	1.4558e-08
158.812	1.4657e-08
160.828	1.4685e-08
162.844	1.4644e-08
164.859	1.4651e-08
166.875	1.4579e-08
168.875	1.4545e-08
170.89	1.4633e-08
172.89	1.4494e-08
174.89	1.4644e-08
176.89	1.4522e-08
178.89	1.4588e-08
180.89	1.4525e-08
182.89	1.4458e-08
184.89	1.4433e-08
186.922	1.4452e-08
188.953	1.447e-08
190.969	1.4441e-08
193	1.4405e-08
195	1.4437e-08
197	1.4394e-08
199	1.4428e-08
201	1.4364e-08
203	1.4379e-08
205.015	1.4282e-08
207.031	1.4329e-08
209.031	1.4269e-08
211.031	1.4297e-08
213.047	1.4291e-08
215.062	1.4223e-08
217.078	1.4227e-08
219.078	1.4161e-08
221.062	1.4278e-08
223.078	1.4149e-08
225.078	1.4143e-08
227.062	1.4165e-08
229.078	1.4205e-08
231.078	1.4171e-08
233.109	1.4139e-08
