t	p
0	1.3221e-08
2.032	1.3017e-08
4.032	1.3033e-08
6.032	1.2987e-08
8.032	1.3028e-08
10.032	1.2932e-08
12.032	1.2946e-08
14.032	1.2943e-08
16.047	1.2937e-08
18.063	1.289e-08
20.079	1.2918e-08
22.079	1.2877e-08
24.079	1.2822e-08
26.094	1.2847e-08
28.125	1.2755e-08
30.141	1.2762e-08
32.141	1.2739e-08
34.141	1.2828e-08
36.157	1.2816e-08
38.141	1.2845e-08
40.157	1.2826e-08
42.157	1.2783e-08
44.141	1.2715e-08
46.157	1.2686e-08
48.157	1.2762e-08
50.157	1.2787e-08
52.157	1.2615e-08
54.157	1.2726e-08
56.157	1.2645e-08
58.157	1.2615e-08
60.172	1.2667e-08
62.188	1.2616e-08
64.188	1.2673e-08
66.188	1.2553e-08
68.188	1.254e-08
70.204	1.2563e-08
72.204	1.2572e-08
74.219	1.2543e-08
76.219	1.2519e-08
78.204	1.2516e-08
80.235	1.2492e-08
82.235	1.2488e-08
84.219	1.2541e-08
86.25	1.2448e-08
88.266	1.2472e-08
90.266	1.2492e-08
92.266	1.2432e-08
94.266	1.2409e-08
96.266	1.2471e-08
98.266	1.2482e-08
100.266	1.2407e-08
102.282	1.2417e-08
104.282	1.2393e-08
106.297	1.2433e-08
108.313	1.2346e-08
110.297	1.2399e-08
112.313	1.2325e-08
114.313	1.2313e-08
116.313	1.2331e-08
118.297	1.241e-08
120.313	1.2384e-08
122.297	1.2299e-08
124.313	1.2248e-08
126.329	1.2363e-08
128.344	1.2352e-08
130.375	1.2306e-08
132.375	1.2346e-08
134.375	1.2295e-08
136.375	1.2197e-08
138.375	1.2291e-08
140.391	1.2235e-08
142.375	1.2332e-08
144.391	1.2333e-08
146.375	1.2319e-08
148.391	1.227e-08
150.391	1.23e-08
152.391	1.2219e-08
154.391	1.2272e-08
156.407	1.2261e-08
158.391	1.2242e-08
160.422	1.2218e-08
162.422	1.2197e-08
164.438	1.2188e-08
166.469	1.2192e-08
168.469	1.2179e-08
170.485	1.2196e-08
172.485	1.222e-08
174.516	1.2157e-08
176.516	1.2197e-08
178.532	1.2175e-08
180.532	1.2147e-08
182.532	1.2175e-08
184.547	1.2113e-08
186.579	1.2152e-08
188.563	1.2139e-08
190.563	1.2178e-08
192.579	1.2082e-08
194.61	1.2104e-08
196.61	1.2112e-08
198.61	1.2163e-08
200.61	1.2221e-08
202.594	1.2072e-08
204.641	1.2115e-08
206.625	1.2141e-08
208.657	1.2152e-08
210.657	1.2057e-08
212.657	1.205e-08
214.657	1.2136e-08
216.657	1.2059e-08
218.657	1.206e-08
220.672	1.1999e-08
222.688	1.2034e-08
224.688	1.2102e-08
226.688	1.2212e-08
228.688	1.2222e-08
230.719	1.2114e-08
232.719	1.2145e-08
234.735	1.2026e-08
236.735	1.2098e-08
238.735	1.2084e-08
240.735	1.2162e-08
242.907	1.2099e-08
245.735	1.2148e-08
247.735	1.2108e-08
249.719	1.2129e-08
251.735	1.2142e-08
253.735	1.2122e-08
255.75	1.203e-08
257.766	1.2072e-08
259.766	1.2047e-08
261.766	1.1987e-08
263.766	1.2076e-08
265.766	1.2058e-08
267.766	1.2046e-08
269.797	1.2069e-08
271.813	1.2091e-08
273.813	1.2138e-08
275.797	1.2081e-08
277.813	1.2037e-08
279.813	1.2025e-08
281.829	1.201e-08
283.829	1.2079e-08
285.844	1.2069e-08
287.844	1.2088e-08
289.86	1.2038e-08
291.891	1.2082e-08
293.907	1.2052e-08
295.922	1.1956e-08
297.938	1.2047e-08
299.969	1.2049e-08
302	1.2093e-08
304.063	1.2103e-08
306.032	1.2087e-08
308.032	1.2041e-08
310.032	1.2043e-08
312.032	1.2107e-08
314.047	1.2065e-08
316.047	1.2038e-08
318.079	1.2063e-08
320.11	1.2016e-08
322.11	1.2027e-08
324.11	1.2036e-08
326.11	1.2095e-08
328.079	1.2109e-08
330.094	1.2084e-08
332.11	1.209e-08
334.11	1.2101e-08
336.11	1.2002e-08
338.125	1.1983e-08
340.141	1.2121e-08
342.141	1.2094e-08
344.141	1.2059e-08
346.141	1.2154e-08
348.157	1.2047e-08
350.172	1.2045e-08
352.188	1.1947e-08
354.188	1.205e-08
356.188	1.2074e-08
358.188	1.2036e-08
360.188	1.2123e-08
362.188	1.2066e-08
364.188	1.2083e-08
366.188	1.1947e-08
368.188	1.2137e-08
370.188	1.2037e-08
372.204	1.2081e-08
374.235	1.2053e-08
376.25	1.2092e-08
378.25	1.208e-08
380.266	1.204e-08
382.297	1.2061e-08
384.344	1.2076e-08
386.36	1.205e-08
388.375	1.2076e-08
390.375	1.203e-08
392.391	1.2051e-08
394.407	1.2007e-08
396.407	1.2027e-08
398.407	1.2074e-08
400.407	1.2076e-08
402.422	1.2017e-08
404.438	1.2137e-08
406.438	1.2032e-08
408.438	1.213e-08
410.438	1.2142e-08
412.454	1.2042e-08
414.469	1.2107e-08
416.485	1.2113e-08
418.485	1.2078e-08
420.485	1.2032e-08
422.485	1.2028e-08
424.485	1.2113e-08
426.485	1.203e-08
428.516	1.1968e-08
430.5	1.2075e-08
432.532	1.2038e-08
434.547	1.2127e-08
436.563	1.2013e-08
438.594	1.2096e-08
440.594	1.2135e-08
442.625	1.2025e-08
444.61	1.1978e-08
447.375	1.2072e-08
449.641	1.2041e-08
451.672	1.2041e-08
453.672	1.2118e-08
455.672	1.2076e-08
457.672	1.2188e-08
459.672	1.2176e-08
461.672	1.2079e-08
463.672	1.2098e-08
465.672	1.2153e-08
467.672	1.2097e-08
469.672	1.2154e-08
471.672	1.2102e-08
473.688	1.2066e-08
475.719	1.2026e-08
477.735	1.2101e-08
479.75	1.2089e-08
481.766	1.2059e-08
483.766	1.2111e-08
485.782	1.2197e-08
487.782	1.2109e-08
489.782	1.2149e-08
491.797	1.2102e-08
493.813	1.2078e-08
495.813	1.2155e-08
497.829	1.2123e-08
499.844	1.1972e-08
501.86	1.2131e-08
503.86	1.2017e-08
505.86	1.2069e-08
507.86	1.2048e-08
509.86	1.2096e-08
511.891	1.2067e-08
513.907	1.2111e-08
515.922	1.218e-08
517.922	1.2129e-08
519.922	1.2067e-08
521.922	1.2097e-08
523.938	1.2166e-08
525.954	1.2035e-08
527.938	1.2062e-08
529.969	1.2031e-08
531.985	1.2092e-08
534.016	1.2015e-08
536	1.2189e-08
538.032	1.2146e-08
540.047	1.208e-08
542.047	1.2082e-08
544.047	1.2153e-08
546.047	1.2209e-08
548.047	1.2159e-08
550.047	1.2135e-08
552.047	1.2022e-08
554.047	1.209e-08
556.032	1.2146e-08
558.047	1.2112e-08
560.079	1.215e-08
562.11	1.2089e-08
564.11	1.2129e-08
566.125	1.2097e-08
568.125	1.2177e-08
570.157	1.2208e-08
572.157	1.2105e-08
574.188	1.2061e-08
576.188	1.2069e-08
578.219	1.2107e-08
580.235	1.2128e-08
582.25	1.2098e-08
584.266	1.2063e-08
586.297	1.2151e-08
588.297	1.2136e-08
590.297	1.212e-08
592.313	1.2101e-08
594.344	1.2097e-08
596.344	1.2115e-08
598.344	1.2099e-08
600.344	1.2226e-08
602.344	1.2205e-08
604.344	1.2154e-08
606.375	1.2226e-08
608.391	1.2184e-08
610.391	1.2187e-08
612.407	1.216e-08
614.422	1.2143e-08
616.422	1.214e-08
618.422	1.2121e-08
620.454	1.2193e-08
622.454	1.2176e-08
624.438	1.2188e-08
626.469	1.2177e-08
628.469	1.2175e-08
630.485	1.2196e-08
632.5	1.2082e-08
634.516	1.2143e-08
636.516	1.2103e-08
638.516	1.2162e-08
640.516	1.2176e-08
642.532	1.2129e-08
644.563	1.2231e-08
646.563	1.2187e-08
648.594	1.2167e-08
650.61	1.2246e-08
652.625	1.2147e-08
654.641	1.2211e-08
656.625	1.2196e-08
658.641	1.2168e-08
660.641	1.2233e-08
662.641	1.2169e-08
664.641	1.2266e-08
666.641	1.2234e-08
668.672	1.2205e-08
670.704	1.2177e-08
672.719	1.2133e-08
674.75	1.2088e-08
676.75	1.2173e-08
678.75	1.2173e-08
680.75	1.2153e-08
682.75	1.2194e-08
684.766	1.219e-08
686.766	1.2205e-08
688.782	1.2103e-08
690.813	1.2185e-08
692.813	1.213e-08
694.829	1.2277e-08
696.829	1.2248e-08
698.829	1.2266e-08
700.829	1.225e-08
702.829	1.2183e-08
704.829	1.2218e-08
706.829	1.2222e-08
708.844	1.227e-08
710.86	1.2305e-08
712.86	1.2171e-08
714.86	1.2227e-08
716.891	1.2212e-08
718.891	1.2288e-08
720.907	1.2234e-08
722.907	1.223e-08
724.938	1.2224e-08
726.938	1.2299e-08
728.938	1.232e-08
730.969	1.2344e-08
732.969	1.2404e-08
734.985	1.2298e-08
737	1.2361e-08
739.016	1.2323e-08
741.016	1.2359e-08
743.016	1.246e-08
745.016	1.2333e-08
747.016	1.233e-08
749.016	1.2333e-08
751.016	1.2226e-08
753.047	1.2321e-08
755.047	1.2351e-08
757.047	1.237e-08
759.032	1.2367e-08
761.079	1.2312e-08
763.094	1.2274e-08
765.125	1.2295e-08
767.125	1.2325e-08
769.157	1.2226e-08
771.157	1.2292e-08
773.157	1.2398e-08
775.172	1.2371e-08
777.204	1.2302e-08
779.204	1.2328e-08
781.235	1.2295e-08
783.219	1.2292e-08
785.235	1.2313e-08
787.25	1.2266e-08
789.266	1.2298e-08
791.297	1.2307e-08
793.313	1.2201e-08
795.313	1.225e-08
797.313	1.2274e-08
799.297	1.2325e-08
801.313	1.2282e-08
803.313	1.2319e-08
805.313	1.2294e-08
807.344	1.2196e-08
809.344	1.2208e-08
811.329	1.2255e-08
813.344	1.2146e-08
815.36	1.2182e-08
817.391	1.2133e-08
819.407	1.2088e-08
821.407	1.2061e-08
823.438	1.2101e-08
825.469	1.208e-08
827.485	1.2015e-08
829.485	1.196e-08
831.5	1.2094e-08
833.5	1.2004e-08
835.532	1.2008e-08
837.532	1.2013e-08
839.516	1.1951e-08
841.547	1.2006e-08
843.563	1.1959e-08
845.594	1.1934e-08
847.61	1.1922e-08
849.61	1.1879e-08
851.61	1.1968e-08
853.61	1.1823e-08
855.579	1.1832e-08
857.61	1.1864e-08
859.61	1.1802e-08
861.61	1.1787e-08
863.641	1.1853e-08
865.641	1.1779e-08
867.657	1.1752e-08
869.672	1.1744e-08
871.688	1.1759e-08
873.704	1.1761e-08
875.704	1.1713e-08
877.719	1.168e-08
879.719	1.1692e-08
881.719	1.1653e-08
883.75	1.1631e-08
885.719	1.1619e-08
887.75	1.1527e-08
889.75	1.1561e-08
891.75	1.1561e-08
893.75	1.1528e-08
895.766	1.1459e-08
897.782	1.1498e-08
899.797	1.1465e-08
901.797	1.1442e-08
903.797	1.1426e-08
905.797	1.1474e-08
907.797	1.1407e-08
910.829	1.1275e-08
912.829	1.1361e-08
914.829	1.1297e-08
916.86	1.1327e-08
918.875	1.1207e-08
921.266	1.1228e-08
923.891	1.1233e-08
925.922	1.1241e-08
927.938	1.1212e-08
929.938	1.1178e-08
931.969	1.1161e-08
933.985	1.1146e-08
936	1.1037e-08
938.016	1.1082e-08
940.016	1.1135e-08
942.016	1.1024e-08
944.047	1.1123e-08
946.047	1.1084e-08
948.047	1.1059e-08
950.047	1.0928e-08
952.047	1.1083e-08
954.079	1.0899e-08
956.094	1.092e-08
958.094	1.0953e-08
960.094	1.0904e-08
962.094	1.0816e-08
964.125	1.0836e-08
966.125	1.085e-08
968.125	1.0812e-08
970.125	1.0801e-08
972.125	1.0779e-08
974.141	1.0722e-08
