t	p
0	1.8432e-08
2.032	1.8313e-08
4.032	1.8144e-08
6.032	1.8159e-08
8.032	1.8126e-08
10.032	1.8008e-08
12.032	1.7974e-08
14.032	1.7834e-08
16.032	1.7629e-08
18.032	1.769e-08
20.032	1.7589e-08
22.032	1.7581e-08
24.016	1.7597e-08
26.032	1.742e-08
28.063	1.7436e-08
30.063	1.7282e-08
32.063	1.7332e-08
34.079	1.7279e-08
36.11	1.7166e-08
38.11	1.703e-08
40.11	1.6984e-08
42.125	1.6838e-08
44.141	1.6977e-08
46.141	1.6903e-08
48.141	1.6775e-08
50.141	1.675e-08
52.141	1.6746e-08
54.141	1.6796e-08
56.141	1.6562e-08
58.157	1.642e-08
60.172	1.6423e-08
62.188	1.6373e-08
64.188	1.638e-08
66.188	1.6294e-08
68.188	1.6222e-08
70.204	1.6083e-08
72.219	1.6265e-08
74.25	1.6155e-08
76.266	1.605e-08
78.266	1.5948e-08
80.297	1.5945e-08
82.297	1.5846e-08
84.297	1.5802e-08
86.313	1.5764e-08
88.329	1.5884e-08
90.344	1.5655e-08
92.36	1.5737e-08
94.375	1.5701e-08
96.391	1.5594e-08
98.375	1.5584e-08
100.407	1.5507e-08
102.407	1.555e-08
104.407	1.537e-08
106.407	1.5366e-08
108.407	1.5477e-08
110.438	1.5382e-08
112.469	1.5442e-08
114.469	1.538e-08
116.469	1.5231e-08
118.485	1.5283e-08
120.485	1.5205e-08
122.485	1.5116e-08
124.485	1.518e-08
126.485	1.5169e-08
128.5	1.511e-08
130.516	1.5009e-08
132.516	1.4984e-08
134.516	1.4903e-08
136.516	1.4997e-08
138.532	1.4904e-08
140.532	1.5022e-08
142.547	1.4948e-08
144.563	1.482e-08
146.547	1.479e-08
148.547	1.4749e-08
150.563	1.4743e-08
152.563	1.4779e-08
154.563	1.4747e-08
156.563	1.4727e-08
158.563	1.4653e-08
160.563	1.4681e-08
162.563	1.455e-08
164.563	1.4625e-08
166.579	1.4557e-08
168.594	1.4579e-08
170.594	1.4467e-08
172.61	1.4484e-08
174.61	1.4535e-08
176.625	1.4537e-08
178.625	1.4469e-08
180.641	1.4405e-08
182.641	1.4412e-08
184.641	1.4323e-08
186.641	1.4406e-08
188.641	1.4382e-08
190.641	1.4408e-08
192.641	1.4363e-08
194.641	1.4381e-08
196.641	1.4296e-08
198.657	1.4285e-08
200.688	1.4278e-08
202.704	1.42e-08
204.719	1.4315e-08
206.75	1.4244e-08
208.735	1.412e-08
210.75	1.4152e-08
212.75	1.4142e-08
214.75	1.4183e-08
216.735	1.4083e-08
218.75	1.416e-08
220.75	1.4113e-08
222.75	1.4016e-08
224.75	1.4096e-08
226.766	1.4072e-08
228.766	1.4077e-08
230.782	1.4122e-08
232.797	1.4064e-08
234.829	1.4041e-08
236.829	1.4094e-08
238.829	1.4049e-08
240.829	1.407e-08
242.829	1.4019e-08
244.829	1.3977e-08
246.829	1.3988e-08
248.829	1.3871e-08
250.86	1.3865e-08
252.875	1.3901e-08
254.891	1.3971e-08
256.891	1.3931e-08
258.891	1.3828e-08
260.907	1.3889e-08
262.907	1.3833e-08
264.907	1.3916e-08
266.907	1.3895e-08
268.891	1.3838e-08
270.922	1.374e-08
272.907	1.3912e-08
274.938	1.3781e-08
276.954	1.3812e-08
278.985	1.3635e-08
280.969	1.3772e-08
282.985	1.3791e-08
284.985	1.3688e-08
286.985	1.38e-08
288.985	1.3684e-08
290.969	1.364e-08
292.985	1.3652e-08
294.954	1.3741e-08
296.985	1.3666e-08
298.985	1.3662e-08
300.985	1.3657e-08
302.985	1.3677e-08
305.047	1.3577e-08
307	1.362e-08
309.016	1.356e-08
311.016	1.3561e-08
313.016	1.3588e-08
315.016	1.3583e-08
317.016	1.3598e-08
319.016	1.3569e-08
321.016	1.3584e-08
323.016	1.3425e-08
325.016	1.352e-08
327.016	1.3448e-08
329.016	1.3581e-08
331.016	1.3425e-08
333.016	1.3484e-08
335.032	1.3452e-08
337.032	1.3409e-08
339.047	1.3459e-08
341.063	1.3398e-08
343.063	1.3395e-08
345.063	1.3323e-08
347.063	1.3409e-08
349.063	1.3383e-08
351.063	1.3457e-08
353.047	1.339e-08
355.063	1.3396e-08
357.063	1.3322e-08
359.063	1.3318e-08
361.094	1.3337e-08
363.094	1.3471e-08
365.094	1.3434e-08
367.11	1.3456e-08
369.125	1.3348e-08
371.125	1.3319e-08
373.141	1.3329e-08
375.141	1.3245e-08
377.125	1.3322e-08
379.141	1.3236e-08
381.125	1.3389e-08
383.141	1.3311e-08
385.141	1.3321e-08
387.141	1.3274e-08
389.141	1.3279e-08
391.141	1.3296e-08
393.157	1.3345e-08
395.172	1.328e-08
397.172	1.3272e-08
399.172	1.3266e-08
401.172	1.3191e-08
403.157	1.3271e-08
405.172	1.3207e-08
407.188	1.3318e-08
409.188	1.3256e-08
411.219	1.325e-08
413.219	1.3191e-08
415.219	1.3218e-08
417.219	1.3235e-08
419.235	1.3223e-08
421.235	1.3183e-08
423.235	1.3219e-08
425.235	1.3146e-08
427.25	1.321e-08
429.25	1.3126e-08
431.266	1.315e-08
433.297	1.3244e-08
435.297	1.3188e-08
437.297	1.3163e-08
439.297	1.3129e-08
441.297	1.3201e-08
443.297	1.3038e-08
445.297	1.3125e-08
447.297	1.3211e-08
449.297	1.312e-08
451.297	1.3178e-08
453.36	1.3128e-08
455.329	1.3111e-08
457.313	1.3156e-08
459.329	1.3157e-08
461.329	1.305e-08
463.329	1.3084e-08
465.329	1.3076e-08
467.329	1.3172e-08
469.313	1.3033e-08
471.329	1.3094e-08
473.375	1.3046e-08
