# Nov 02, 2022  10:12:18 AM
# Residual Gas Analyzer Software 
# RGA Software Version, 3.218.004

# Pressure vs Time Scan Setup:

# Active channels in Scan, 6 
# Units, Torr
# Sample Period, 1.00, sec
# Focus Voltage, 90, Volts 
# Ion Energy, HIGH 
# Electron Energy, 70, eV 
# CEM Voltage, 1205, Volts
# CEM Gain, 1.01E+003 
# Sensitivity Factor, 8.64E-005 
# Filament Current, 1.00, mAmps
# Start time, Nov 02, 2022  10:12:18 AM 
# Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status
# 
# 1         28.00          Nitrogen              1.00         3            ON
# 2         32.00          Oxygen                1.00         3            ON
# 3         15.00          Methane               1.00         3            ON
# 4         40.00          Argon                 1.00         3            ON
# 5         44.00          Carbon dioxide        1.00         3            ON
# 6         18.00          Water                 1.00         3            ON
#
# 
# Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   
0.000,   2.9293E-009,   7.6032E-008,   1.3221E-008,   1.3075E-007,   4.2256E-010,   5.5821E-009,  
2.032,   2.7839E-009,   7.5083E-008,   1.3017E-008,   1.2995E-007,   4.3407E-010,   5.5170E-009,  
4.032,   2.7562E-009,   7.5436E-008,   1.3033E-008,   1.2914E-007,   4.3172E-010,   5.5729E-009,  
6.032,   2.7554E-009,   7.5356E-008,   1.2987E-008,   1.2951E-007,   4.3341E-010,   5.5844E-009,  
8.032,   2.7509E-009,   7.4964E-008,   1.3028E-008,   1.2894E-007,   4.2411E-010,   5.5798E-009,  
10.032,   2.7126E-009,   7.4779E-008,   1.2932E-008,   1.2820E-007,   4.2947E-010,   5.5384E-009,  
12.032,   2.7457E-009,   7.4637E-008,   1.2946E-008,   1.2883E-007,   4.2303E-010,   5.4976E-009,  
14.032,   2.7338E-009,   7.4482E-008,   1.2943E-008,   1.2774E-007,   4.2885E-010,   5.5392E-009,  
16.047,   2.7006E-009,   7.4306E-008,   1.2937E-008,   1.2853E-007,   4.1907E-010,   5.4876E-009,  
18.063,   2.7131E-009,   7.4167E-008,   1.2890E-008,   1.2823E-007,   4.2660E-010,   5.5250E-009,  
20.079,   2.6939E-009,   7.4234E-008,   1.2918E-008,   1.2772E-007,   4.1190E-010,   5.4752E-009,  
22.079,   2.6794E-009,   7.4139E-008,   1.2877E-008,   1.2793E-007,   4.2373E-010,   5.4504E-009,  
24.079,   2.6627E-009,   7.4067E-008,   1.2822E-008,   1.2795E-007,   4.1809E-010,   5.4942E-009,  
26.094,   2.6735E-009,   7.3746E-008,   1.2847E-008,   1.2747E-007,   4.1683E-010,   5.4667E-009,  
28.125,   2.6806E-009,   7.3675E-008,   1.2755E-008,   1.2773E-007,   4.2626E-010,   5.4969E-009,  
30.141,   2.6882E-009,   7.3514E-008,   1.2762E-008,   1.2716E-007,   4.1430E-010,   5.4395E-009,  
32.141,   2.6794E-009,   7.3679E-008,   1.2739E-008,   1.2646E-007,   4.0714E-010,   5.4814E-009,  
34.141,   2.6545E-009,   7.3501E-008,   1.2828E-008,   1.2591E-007,   4.1559E-010,   5.4486E-009,  
36.157,   2.6623E-009,   7.3679E-008,   1.2816E-008,   1.2717E-007,   4.0988E-010,   5.4640E-009,  
38.141,   2.7018E-009,   7.3769E-008,   1.2845E-008,   1.2658E-007,   4.3077E-010,   5.4492E-009,  
40.157,   2.6774E-009,   7.3790E-008,   1.2826E-008,   1.2685E-007,   4.2920E-010,   5.4321E-009,  
42.157,   2.6542E-009,   7.3447E-008,   1.2783E-008,   1.2625E-007,   4.2574E-010,   5.4375E-009,  
44.141,   2.6451E-009,   7.3461E-008,   1.2715E-008,   1.2651E-007,   4.2475E-010,   5.4331E-009,  
46.157,   2.6247E-009,   7.3623E-008,   1.2686E-008,   1.2622E-007,   4.1329E-010,   5.4215E-009,  
48.157,   2.6544E-009,   7.3191E-008,   1.2762E-008,   1.2596E-007,   4.1361E-010,   5.4340E-009,  
50.157,   2.6332E-009,   7.3072E-008,   1.2787E-008,   1.2594E-007,   4.1778E-010,   5.4401E-009,  
52.157,   2.6273E-009,   7.2854E-008,   1.2615E-008,   1.2573E-007,   4.3243E-010,   5.4162E-009,  
54.157,   2.6411E-009,   7.2866E-008,   1.2726E-008,   1.2545E-007,   4.1698E-010,   5.3637E-009,  
56.157,   2.6821E-009,   7.2568E-008,   1.2645E-008,   1.2585E-007,   4.2289E-010,   5.4199E-009,  
58.157,   2.6294E-009,   7.2783E-008,   1.2615E-008,   1.2536E-007,   4.0683E-010,   5.3981E-009,  
60.172,   2.5966E-009,   7.2926E-008,   1.2667E-008,   1.2534E-007,   4.1890E-010,   5.3832E-009,  
62.188,   2.6203E-009,   7.2717E-008,   1.2616E-008,   1.2479E-007,   4.1518E-010,   5.4292E-009,  
64.188,   2.5849E-009,   7.2200E-008,   1.2673E-008,   1.2532E-007,   4.1561E-010,   5.3838E-009,  
66.188,   2.5928E-009,   7.2721E-008,   1.2553E-008,   1.2549E-007,   4.2184E-010,   5.4409E-009,  
68.188,   2.5795E-009,   7.2098E-008,   1.2540E-008,   1.2468E-007,   4.1696E-010,   5.3709E-009,  
70.204,   2.5815E-009,   7.2433E-008,   1.2563E-008,   1.2446E-007,   4.2311E-010,   5.3615E-009,  
72.204,   2.6062E-009,   7.2472E-008,   1.2572E-008,   1.2444E-007,   4.2347E-010,   5.3149E-009,  
74.219,   2.5728E-009,   7.2265E-008,   1.2543E-008,   1.2466E-007,   4.1525E-010,   5.3636E-009,  
